mfg_number,quantity,price,mfg_name,description
ESW226M010AC3AA,1,1.65,KEMET,CAP ALUM 22UF 20% 10V RADIAL TH
ESK337M6R3AE3AA,1,1.65,KEMET,CAP ALUM 330UF 20% 6.3V RADIAL
ESS107M016AE2EA,1,1.65,KEMET,CAP ALUM 100UF 20% 16V RADIAL TH
ESY106M035AB2AA,1,1.65,KEMET,CAP ALUM 10UF 20% 35V RADIAL TH
ESK226M050AC3FA,1,1.65,KEMET,CAP ALUM 22UF 20% 50V RADIAL TH
ESW106M025AC3AA,1,1.65,KEMET,CAP ALUM 10UF 20% 25V RADIAL TH
ESS106M050AE2AA,1,1.65,KEMET,CAP ALUM 10UF 20% 50V RADIAL TH
ESK106M010AC3AA,1,1.74,KEMET,CAP ALUM 10UF 20% 10V RADIAL TH
ESS226M035AE2EA,1,1.74,KEMET,CAP ALUM 22UF 20% 35V RADIAL TH
ESH227M010AE3AA,1,1.74,KEMET,CAP ALUM 220UF 20% 10V RADIAL TH
ESK227M010AC3AA,1,1.74,KEMET,CAP ALUM 220UF 20% 10V RADIAL TH
ESS106M063AE2EA,1,1.74,KEMET,CAP ALUM 10UF 20% 63V RADIAL TH
ESK226M063AE3AA,1,1.74,KEMET,CAP ALUM 22UF 20% 63V RADIAL TH
ESH107M016AE3AA,1,1.74,KEMET,CAP ALUM 100UF 20% 16V RADIAL TH
ESK475M050AC3AA,1,1.74,KEMET,CAP ALUM 4.7UF 20% 50V RADIAL TH
ESK107M025AE3KA,1,1.74,KEMET,CAP ALUM 100UF 20% 25V RADIAL TH
ESH476M035AE3AA,1,1.74,KEMET,CAP ALUM 47UF 20% 35V RADIAL TH
ESK107M016AE3KA,1,1.74,KEMET,CAP ALUM 100UF 20% 16V RADIAL TH
ESS476M016AE2EA,1,1.82,KEMET,CAP ALUM 47UF 20% 16V RADIAL TH
ESK105M250AE3AA,1,1.82,KEMET,CAP ALUM RAD 85C
ESH107M025AE3DA,1,1.82,KEMET,CAP ALUM RAD 105C
ESW106M016AC3FA,1,1.82,KEMET,CAP ALUM 10UF 20% 16V RADIAL TH
ESK107M035AE3AA,1,1.82,KEMET,CAP ALUM 100UF 20% 35V RADIAL TH
ESH107M025AE3AA,1,1.82,KEMET,CAP ALUM 100UF 20% 25V RADIAL TH
ESC475M063AC3AA,1,1.82,KEMET,CAP ALUM 4.7UF 20% 63V RADIAL TH
ESH476M016AC3AA,1,1.82,KEMET,CAP ALUM 47UF 20% 16V RADIAL TH
ESW475M025AC3AA,1,1.82,KEMET,CAP ALUM 4.7UF 20% 25V RADIAL TH
ESH106M100AE3AA,1,1.9,KEMET,CAP ALUM 10UF 20% 100V RADIAL TH
ESH336M050AC3AA,1,1.9,KEMET,CAP ALUM 33UF 20% 50V RADIAL TH
ESS107M025AE2AA,1,1.9,KEMET,CAP ALUM RAD 105C
ESK476M050AE3EA,1,1.9,KEMET,CAP ALUM 47UF 20% 50V RADIAL TH
ESK106M100AE3EA,1,1.9,KEMET,CAP ALUM 10UF 20% 100V RADIAL TH
ESH476M050AE3AA,1,1.9,KEMET,CAP ALUM 47UF 20% 50V RADIAL TH
ESH226M016AC3AA,1,1.9,KEMET,CAP ALUM 22UF 20% 16V RADIAL TH
ESK477M6R3AE3AA,1,1.9,KEMET,CAP ALUM 470UF 20% 6.3V RADIAL
ESK476M050AE3AA,1,1.9,KEMET,CAP ALUM 47UF 20% 50V RADIAL TH
ESC475M035AC3AA,1,1.98,KEMET,CAP ALUM RAD 105C
ESY476M035AE3AA,1,1.98,KEMET,CAP ALUM 47UF 20% 35V RADIAL TH
EDH106M016A9BAA,1,2.07,KEMET,CAP ALUM 10UF 20% 16V SMD
EDK106M035A9BAA,1,2.07,KEMET,CAP ALUM 10UF 20% 35V SMD
ESL106M100AE3AA,1,2.07,KEMET,CAP ALUM 10UF 20% 100V RADIAL TH
ESC227M010AE3AA,1,2.07,KEMET,CAP ALUM 220UF 20% 10V RADIAL TH
ESL107M035AE3AA,1,2.07,KEMET,CAP ALUM 100UF 20% 35V RADIAL TH
ESK226M100AE3AA,1,2.15,KEMET,CAP ALUM 22UF 20% 100V RADIAL TH
ESE476M050AE3DA,1,2.15,KEMET,CAP ALUM 47UF 20% 50V RADIAL TH
