mfg_number,quantity,price,mfg_name,description
A700D157M006ATE010,1,26.21,KEMET,CAP ALUM POLY 150UF 20% 6.3V SMD
A767MU476M1KLAE040,1,27.04,KEMET,CAP ALUM POLY 47UF 20% 80V SMD
A700D226M016ATE030,1,27.54,KEMET,CAP ALUM POLY 22UF 20% 16V SMD
A780MS107M1JLAV030,1,29.52,KEMET,CAP ALUM HYB 100UF 20% 63V SMD
A759MX447M1HAAE028,1,30.51,KEMET,CAP ALUM POLY 440UF 20% 50V TH
A700X157M010ATE015,1,30.51,KEMET,CAP ALUM POLY 150UF 20% 10V SMD
A767MU226M2ALAE038,1,31.51,KEMET,CAP ALUM POLY 22UF 20% 100V SMD
A700X227M006ATE010,1,34.4,KEMET,CAP ALUM POLY 220UF 20% 6.3V SMD
A700X157M006ATE015,1,34.65,KEMET,CAP ALUM POLY 150UF 20% 6.3V SMD
PHA225MLP3560QE4,1,59.13,KEMET,CAP ALUM HYB 560UF 10-30% 63V TH
PHA227MLP4110ME4,1,105.93,KEMET,CAP ALUM HYB 1100UF 20% 63V TH
A766EB127M0JLAE022,1,3.72,KEMET,CAP ALUM POLY 120UF 20% 6.3V SMD
A750EK277M1AAAE010,1,3.8,KEMET,CAP ALUM POLY 270UF 20% 10V TH
A765EB337M0GLAE014,1,3.97,KEMET,CAP ALUM POLY 330UF 20% 4V SMD
A759EK227M0JAAE018,1,3.97,KEMET,CAP ALUM POLY 220UF 20% 6.3V TH
A766EB686M1CLAE030,1,4.22,KEMET,CAP ALUM POLY 68UF 20% 16V SMD
A765EB686M1CLAE025,1,4.22,KEMET,CAP ALUM POLY 68UF 20% 16V SMD
A750EK337M1AAAE016,1,4.22,KEMET,CAP ALUM POLY 330UF 20% 10V TH
A759EK477M0JAAE016,1,4.3,KEMET,CAP ALUM POLY 470UF 20% 6.3V TH
A759EK337M1AAAE018,1,4.3,KEMET,CAP ALUM POLY 330UF 20% 10V TH
A768EB396M1GLAE045,1,4.3,KEMET,CAP ALUM POLY 39UF 20% 40V SMD
A758BG227M0JAAE018,1,4.3,KEMET,CAP ALUM POLY 220UF 20% 6.3V TH
A766EB396M1CLAE037,1,4.38,KEMET,CAP ALUM POLY 39UF 20% 16V SMD
A768EB396M1GLAS045,1,4.38,KEMET,CAP ALUM POLY 39UF 20% 40V SMD
A750EQ567M1AAAE012,1,4.55,KEMET,CAP ALUM POLY 560UF 20% 10V TH
A766KE157M1ALAE030,1,4.71,KEMET,CAP ALUM POLY 150UF 20% 10V SMD
A750EQ687M1AAAE015,1,4.8,KEMET,CAP ALUM POLY 680UF 20% 10V TH
A750KR108M0GAAE007,1,4.8,KEMET,CAP ALUM POLY 1000UF 20% 4V TH
A765KE477M0GLAE014,1,4.96,KEMET,CAP ALUM POLY 470UF 20% 4V SMD
A758EK567M0EAAE016,1,4.96,KEMET,CAP ALUM POLY 560UF 20% 2.5V TH
A766KE397M0JLAE022,1,5.04,KEMET,CAP ALUM POLY 390UF 20% 6.3V SMD
A758EK567M0GAAE016,1,5.04,KEMET,CAP ALUM POLY 560UF 20% 4V TH
A750KK477M1AAAE016,1,5.13,KEMET,CAP ALUM POLY 470UF 20% 10V TH
A758KR567M1AAAE011,1,5.13,KEMET,CAP ALUM POLY 560UF 20% 10V TH
A758EK477M0JAAE015,1,5.21,KEMET,CAP ALUM POLY 470UF 20% 6.3V TH
A759KC276M1JAAE054,1,5.46,KEMET,CAP ALUM POLY 27UF 20% 63V TH
A768KE157M1ELAE029,1,5.62,KEMET,CAP ALUM POLY 150UF 20% 25V SMD
A765EB157M0JLAE020,1,5.71,KEMET,CAP ALUM POLY 150UF 20% 6.3V SMD
A768KE826M1VLAE036,1,5.71,KEMET,CAP ALUM POLY 82UF 20% 35V SMD
A766KE826M1CLAE030,1,5.71,KEMET,CAP ALUM POLY 82UF 20% 16V SMD
A768KE686M1GLAE038,1,5.71,KEMET,CAP ALUM POLY 68UF 20% 40V SMD
A768KE187M1ELAE029,1,5.71,KEMET,CAP ALUM POLY 180UF 20% 25V SMD
A768KE157M1ELAS029,1,5.79,KEMET,CAP ALUM POLY 150UF 20% 25V SMD
A768KE826M1VLAS036,1,5.87,KEMET,CAP ALUM POLY 82UF 20% 35V SMD
A766KE476M1DLAE045,1,5.95,KEMET,CAP ALUM POLY 47UF 20% 20V SMD
A758KK567M0JAAE014,1,6.12,KEMET,CAP ALUM POLY 560UF 20% 6.3V TH
A770KE396M1HLAS042,1,6.2,KEMET,CAP ALUM POLY 39UF 20% 50V SMD
A750KS827M1AAAE014,1,6.2,KEMET,CAP ALUM POLY 820UF 20% 10V TH
A780EN187M1ELAS045,1,6.62,KEMET,CAP ALUM HYB 180UF 20% 25V SMD
A780EN826M1VLAS045,1,6.7,KEMET,CAP ALUM HYBRID 82UF 20% 35V SMD
A758KK157M1CAAE015,1,6.7,KEMET,CAP ALUM POLY 150UF 20% 16V TH
A759BQ226M1VAAE080,1,7.03,KEMET,CAP ALUM POLY 22UF 20% 35V TH
A758KK227M1CAAE014,1,7.53,KEMET,CAP ALUM POLY 220UF 20% 16V TH
A755KS476M1EAAE025,1,7.69,KEMET,CAP ALUM POLY 47UF 20% 25V TH
A770KS337M1ELAS019,1,7.69,KEMET,CAP ALUM POLY 330UF 20% 25V SMD
