mfg_number,quantity,price,mfg_name,description
B32529C0183J289,1,2.32,EPCOS - TDK Electronics,CAP FILM 0.018UF 5% 63VDC RADIAL
B32529C0333J289,1,2.32,EPCOS - TDK Electronics,CAP FILM 0.033UF 5% 63VDC RADIAL
B32529C1104J289,1,2.32,EPCOS - TDK Electronics,CAP FILM 0.1UF 5% 100VDC RADIAL
B32529C0683J289,1,2.32,EPCOS - TDK Electronics,CAP FILM 0.068UF 5% 63VDC RADIAL
B32529C0332J289,1,2.32,EPCOS - TDK Electronics,CAP FILM 3300PF 5% 63VDC RADIAL
B32529C0103J289,1,2.32,EPCOS - TDK Electronics,CAP FILM 10000PF 5% 63VDC RADIAL
B32529C0473J189,1,2.32,EPCOS - TDK Electronics,CAP FILM 0.047UF 5% 63VDC RADIAL
B32529C1122J289,1,2.32,EPCOS - TDK Electronics,CAP FILM 1200PF 5% 100VDC RADIAL
B32529C1183J189,1,2.32,EPCOS - TDK Electronics,CAP FILM 0.018UF 5% 100VDC RAD
B32529C0222J189,1,2.32,EPCOS - TDK Electronics,CAP FILM 2200PF 5% 63VDC RADIAL
B32529C1393J189,1,2.32,EPCOS - TDK Electronics,CAP FILM 0.039UF 5% 100VDC RAD
B32529C0223J289,1,2.32,EPCOS - TDK Electronics,CAP FILM 0.022UF 5% 63VDC RADIAL
B32529C0102J289,1,2.32,EPCOS - TDK Electronics,CAP FILM 1000PF 5% 63VDC RADIAL
B32529C0562J189,1,2.32,EPCOS - TDK Electronics,CAP FILM 5600PF 5% 63VDC RADIAL
B32529C0682J189,1,2.32,EPCOS - TDK Electronics,CAP FILM 6800PF 5% 63VDC RADIAL
B32529C1823J289,1,2.32,EPCOS - TDK Electronics,CAP FILM 0.082UF 5% 100VDC RAD
B32529C0472J189,1,2.32,EPCOS - TDK Electronics,CAP FILM 4700PF 5% 63VDC RADIAL
B32529C1102J289,1,2.32,EPCOS - TDK Electronics,CAP FILM 1000PF 5% 100VDC RADIAL
B32529C0272J289,1,2.32,EPCOS - TDK Electronics,CAP FILM 2700PF 5% 63VDC RADIAL
B32529C3102K000,1,2.32,EPCOS - TDK Electronics,CAP FILM 1000PF 10% 250VDC RAD
B32529C3472K289,1,2.4,EPCOS - TDK Electronics,CAP FILM 4700PF 10% 250VDC RAD
B32529C3103K289,1,2.4,EPCOS - TDK Electronics,CAP FILM 10000PF 10% 250VDC RAD
B32529C0154K000,1,2.4,EPCOS - TDK Electronics,CAP FILM 0.15UF 10% 63VDC RADIAL
B32529C3103J000,1,2.48,EPCOS - TDK Electronics,CAP FILM 10000PF 5% 250VDC RAD
B32529C3102J000,1,2.48,EPCOS - TDK Electronics,CAP FILM 1000PF 5% 250VDC RADIAL
B32529C1682J289,1,2.48,EPCOS - TDK Electronics,CAP FILM 6800PF 5% 100VDC RADIAL
B32529C0104K189,1,2.48,EPCOS - TDK Electronics,CAP FILM 0.1UF 10% 63VDC RADIAL
B32529C3472J000,1,2.48,EPCOS - TDK Electronics,CAP FILM 4700PF 5% 250VDC RADIAL
B32529C1104K189,1,2.48,EPCOS - TDK Electronics,CAP FILM 0.1UF 10% 100VDC RADIAL
B32529C3222J000,1,2.48,EPCOS - TDK Electronics,CAP FILM 2200PF 5% 250VDC RADIAL
B32529C0103J189,1,2.48,EPCOS - TDK Electronics,CAP FILM 10000PF 5% 63VDC RADIAL
B32529C1683J189,1,2.48,EPCOS - TDK Electronics,CAP FILM 0.068UF 5% 100VDC RAD
B32529C1473J189,1,2.48,EPCOS - TDK Electronics,CAP FILM 0.047UF 5% 100VDC RAD
B32529C6682J000,1,2.56,EPCOS - TDK Electronics,CAP FILM 6800PF 5% 400VDC RADIAL
B32529C3103J189,1,2.56,EPCOS - TDK Electronics,CAP FILM 10000PF 5% 250VDC RAD
B32529C3822J289,1,2.56,EPCOS - TDK Electronics,CAP FILM 8200PF 5% 250VDC RADIAL
B32529C0154J000,1,2.56,EPCOS - TDK Electronics,CAP FILM 0.15UF 5% 63VDC RADIAL
B32529C0124J289,1,2.65,EPCOS - TDK Electronics,CAP FILM 0.12UF 5% 63VDC RADIAL
B32529C6472J000,1,2.65,EPCOS - TDK Electronics,CAP FILM 4700PF 5% 400VDC RADIAL
B32529C0224K000,1,2.65,EPCOS - TDK Electronics,CAP FILM 0.22UF 10% 63VDC RADIAL
B32529C0154J189,1,2.65,EPCOS - TDK Electronics,CAP FILM 0.15UF 5% 63VDC RADIAL
B32529C0224J000,1,2.73,EPCOS - TDK Electronics,CAP FILM 0.22UF 5% 63VDC RADIAL
B32529C0224K289,1,2.73,EPCOS - TDK Electronics,CAP FILM 0.22UF 10% 63VDC RADIAL
B32529C1103J289,1,2.73,EPCOS - TDK Electronics,CAP FILM 10000PF 5% 100VDC RAD
B32529C6222J289,1,2.81,EPCOS - TDK Electronics,CAP FILM 2200PF 5% 400VDC RADIAL
B32529C6102J189,1,2.81,EPCOS - TDK Electronics,CAP FILM 1000PF 5% 400VDC RADIAL
B32529C3332J189,1,2.81,EPCOS - TDK Electronics,CAP FILM 3300PF 5% 250VDC RADIAL
B32529C6152J289,1,2.81,EPCOS - TDK Electronics,CAP FILM 1500PF 5% 400VDC RADIAL
B32529C0154J289,1,2.89,EPCOS - TDK Electronics,CAP FILM 0.15UF 5% 63VDC RADIAL
B32529C0224J189,1,2.98,EPCOS - TDK Electronics,CAP FILM 0.22UF 5% 63VDC RADIAL
B32529C0184J289,1,2.98,EPCOS - TDK Electronics,CAP FILM 0.18UF 5% 63VDC RADIAL
B32529C8102J000,1,3.23,EPCOS - TDK Electronics,CAP FILM 1000PF 5% 630VDC RADIAL
